"text","label"
"No electricity supply in Ulhasnagar for over 5 hours.","Low"
"No electricity supply in Jodhpur for over 15 hours.","High"
"Gas leakage complaint from Raiganj, urgent attention needed.","High"
"Contaminated water supply reported in Guna.","Medium"
"Gas leakage complaint from Kollam, urgent attention needed.","Low"
"No electricity supply in Salem for over 15 hours.","Medium"
"Gas leakage complaint from Parbhani, urgent attention needed.","High"
"Gas leakage complaint from Alwar, urgent attention needed.","High"
"No electricity supply in Shahjahanpur for over 14 hours.","High"
"Contaminated water supply reported in Agartala.","High"
"Gas leakage complaint from Karimnagar, urgent attention needed.","Low"
"No electricity supply in Gopalpur for over 18 hours.","Low"
"No electricity supply in Ranchi for over 3 hours.","Medium"
"Bus stop shelter damaged in Bhilai, exposing commuters to rain.","High"
"Delayed metro service at Jalgaon causing commuter distress.","Medium"
"Bus stop shelter damaged in Hajipur, exposing commuters to rain.","Low"
"Bus stop shelter damaged in Ambattur, exposing commuters to rain.","Low"
"Overcrowded buses on Anantapuram route making commute unsafe.","Medium"
"Bus stop shelter damaged in Hosur, exposing commuters to rain.","Medium"
"Bus stop shelter damaged in Bidhannagar, exposing commuters to rain.","Medium"
"Overcrowded buses on Adoni route making commute unsafe.","Medium"
"Overcrowded buses on Medininagar route making commute unsafe.","High"
"Overcrowded buses on Asansol route making commute unsafe.","Medium"
"Bus stop shelter damaged in Hyderabad, exposing commuters to rain.","Low"
"Overcrowded buses on Tiruppur route making commute unsafe.","High"
"Delayed metro service at Nadiad causing commuter distress.","High"
"Delayed metro service at Madhyamgram causing commuter distress.","High"
"Bus stop shelter damaged in Kumbakonam, exposing commuters to rain.","Medium"
"Delayed metro service at Chennai causing commuter distress.","Low"
"Overcrowded buses on Berhampore route making commute unsafe.","High"
"Delayed metro service at Darbhanga causing commuter distress.","High"
"Bus stop shelter damaged in Bhiwani, exposing commuters to rain.","Low"
"Delayed metro service at Tadipatri causing commuter distress.","Medium"
"Overcrowded buses on Amroha route making commute unsafe.","Medium"
"Overcrowded buses on Navi Mumbai route making commute unsafe.","Low"
"Bus stop shelter damaged in Rourkela, exposing commuters to rain.","High"
"Delayed metro service at Aurangabad causing commuter distress.","High"
"Bus stop shelter damaged in Sikar, exposing commuters to rain.","Medium"
"Overcrowded buses on Alappuzha route making commute unsafe.","Medium"
"Delayed metro service at Ulhasnagar causing commuter distress.","Medium"
"Overcrowded buses on Mehsana route making commute unsafe.","High"
"Bus stop shelter damaged in Ichalkaranji, exposing commuters to rain.","Medium"
"Bus stop shelter damaged in Ahmednagar, exposing commuters to rain.","High"
"Bus stop shelter damaged in Jamshedpur, exposing commuters to rain.","High"
"Delayed metro service at South Dumdum causing commuter distress.","Medium"
"Bus stop shelter damaged in Mehsana, exposing commuters to rain.","High"
"Overcrowded buses on Serampore route making commute unsafe.","Medium"
"Delayed metro service at Belgaum causing commuter distress.","Medium"
"Bus stop shelter damaged in Ichalkaranji, exposing commuters to rain.","High"
"Delayed metro service at Buxar causing commuter distress.","Medium"
"Delayed metro service at Bhagalpur causing commuter distress.","Low"
"Bus stop shelter damaged in Mathura, exposing commuters to rain.","Medium"
"Overcrowded buses on Katihar route making commute unsafe.","Medium"
"Delayed metro service at Gangtok causing commuter distress.","Low"
"Delayed metro service at Gaya causing commuter distress.","Low"
"Bus stop shelter damaged in Danapur, exposing commuters to rain.","Medium"
"Overcrowded buses on Mau route making commute unsafe.","High"
"Overcrowded buses on Patiala route making commute unsafe.","Low"
"Delayed metro service at Firozabad causing commuter distress.","Medium"
"Delayed metro service at Agra causing commuter distress.","High"
"Overcrowded buses on Dhanbad route making commute unsafe.","Medium"
"Delayed metro service at Warangal causing commuter distress.","High"
"Bus stop shelter damaged in Panchkula, exposing commuters to rain.","High"
"Garbage not collected in Malda for 28 days.","High"
"Garbage not collected in Adoni for 13 days.","High"
"Open drains near Serampore are breeding mosquitoes.","High"
"Overflowing sewage in Noida, foul smell reported.","Medium"
"Overflowing sewage in Kurnool, foul smell reported.","Low"
"Open drains near Sri Ganganagar are breeding mosquitoes.","Low"
"Garbage not collected in Durgapur for 7 days.","Medium"
"Open drains near Aizawl are breeding mosquitoes.","Low"
"Garbage not collected in Sangli-Miraj & Kupwad for 18 days.","Low"
"Garbage not collected in Siliguri for 30 days.","High"
"Garbage not collected in Saharanpur for 4 days.","Medium"
"Open drains near Sonipat are breeding mosquitoes.","Medium"
"Garbage not collected in Karimnagar for 14 days.","High"
"Open drains near Ballia are breeding mosquitoes.","High"
"Open drains near Raiganj are breeding mosquitoes.","Medium"
"Open drains near Chandigarh are breeding mosquitoes.","High"
"Open drains near Rajpur Sonarpur are breeding mosquitoes.","High"
"Garbage not collected in Rajahmundry for 2 days.","High"
"Overflowing sewage in Guwahati, foul smell reported.","Low"
"Garbage not collected in Varanasi for 12 days.","Medium"
"Open drains near Begusarai are breeding mosquitoes.","Medium"
"Overflowing sewage in Raiganj, foul smell reported.","High"
"Overflowing sewage in Anantapur, foul smell reported.","High"
"Overflowing sewage in Surat, foul smell reported.","High"
"Open drains near Ambarnath are breeding mosquitoes.","Low"
"Open drains near Rohtak are breeding mosquitoes.","Medium"
"Open drains near Imphal are breeding mosquitoes.","Medium"
"Overflowing sewage in Rajahmundry, foul smell reported.","Medium"
"Overflowing sewage in Anand, foul smell reported.","Medium"
"Overflowing sewage in Parbhani, foul smell reported.","High"
"Open drains near Tadepalligudem are breeding mosquitoes.","Medium"
"Overflowing sewage in Nellore, foul smell reported.","High"
"Open drains near Bhiwandi are breeding mosquitoes.","Low"
"Garbage not collected in Panihati for 10 days.","Medium"
"Open drains near Asansol are breeding mosquitoes.","Medium"
"Open drains near Bhind are breeding mosquitoes.","High"
"Open drains near Surat are breeding mosquitoes.","Low"
"Garbage not collected in Panvel for 7 days.","Medium"
"Garbage not collected in Amaravati for 7 days.","Medium"
"Overflowing sewage in Noida, foul smell reported.","High"
"Garbage not collected in Miryalaguda for 23 days.","Low"
"Overflowing sewage in Muzaffarpur, foul smell reported.","Low"
"Open drains near Tenali are breeding mosquitoes.","High"
"Open drains near Guna are breeding mosquitoes.","High"
"Overflowing sewage in Begusarai, foul smell reported.","High"
"Garbage not collected in Chandrapur for 23 days.","Medium"
"Open drains near Kavali are breeding mosquitoes.","Medium"
"Garbage not collected in Bhiwandi for 1 days.","Medium"
"Open drains near Bhatpara are breeding mosquitoes.","Low"
"Overflowing sewage in Ludhiana, foul smell reported.","Medium"
"Unattended electric wires hanging in Berhampur, posing danger.","Medium"
"Public toilet in Bhagalpur in unhygienic condition.","Low"
"Public toilet in Moradabad in unhygienic condition.","Medium"
"Unattended electric wires hanging in Bilaspur, posing danger.","Low"
"Public toilet in Bettiah in unhygienic condition.","Low"
"Unattended electric wires hanging in Haridwar, posing danger.","Medium"
"Unattended electric wires hanging in Eluru, posing danger.","Low"
"Public toilet in Alwar in unhygienic condition.","Medium"
"Stray dogs attacking pedestrians in Tinsukia.","High"
"Unattended electric wires hanging in Hapur, posing danger.","High"
"Stray dogs attacking pedestrians in Faridabad.","Low"
"Public toilet in Gudivada in unhygienic condition.","Medium"
"Unattended electric wires hanging in Pali, posing danger.","High"
"Public toilet in Nagpur in unhygienic condition.","Medium"
"Public toilet in Mahbubnagar in unhygienic condition.","High"
"Unattended electric wires hanging in Avadi, posing danger.","High"
"Unattended electric wires hanging in Khora , posing danger.","High"
"Unattended electric wires hanging in Malegaon, posing danger.","Low"
"Stray dogs attacking pedestrians in Avadi.","Low"
"Unattended electric wires hanging in Suryapet, posing danger.","High"
"Unattended electric wires hanging in Malda, posing danger.","High"
"Public toilet in Durg in unhygienic condition.","Low"
"Stray dogs attacking pedestrians in Sambalpur.","Low"
"Unattended electric wires hanging in Kharagpur, posing danger.","High"
"Unattended electric wires hanging in Ajmer, posing danger.","High"
"Public toilet in Kanpur in unhygienic condition.","Low"
"Stray dogs attacking pedestrians in Vellore.","High"
"Public toilet in Suryapet in unhygienic condition.","Low"
"Unattended electric wires hanging in Chittoor, posing danger.","Medium"
"Stray dogs attacking pedestrians in Nadiad.","Low"
"Stray dogs attacking pedestrians in Durg.","High"
"Unattended electric wires hanging in Pimpri-Chinchwad, posing danger.","Medium"
"Public toilet in Burhanpur in unhygienic condition.","Low"
"Stray dogs attacking pedestrians in Berhampur.","High"
"Stray dogs attacking pedestrians in Satara.","Low"
"Public toilet in Chennai in unhygienic condition.","Low"
"Stray dogs attacking pedestrians in Dhanbad.","Low"
"Stray dogs attacking pedestrians in Kurnool.","High"
"Public toilet in Chennai in unhygienic condition.","Low"
"Public toilet in Sambhal in unhygienic condition.","Medium"
"Stray dogs attacking pedestrians in Cuttack.","Low"
"Stray dogs attacking pedestrians in Chittoor.","High"
"Stray dogs attacking pedestrians in Mathura.","Medium"
"Unattended electric wires hanging in Berhampur, posing danger.","High"
"Public toilet in Patna in unhygienic condition.","Medium"
"Stray dogs attacking pedestrians in Tadipatri.","High"
"Stray dogs attacking pedestrians in Ranchi.","Medium"
"Stray dogs attacking pedestrians in Jamalpur.","High"
"Stray dogs attacking pedestrians in Rajkot.","High"
"Unattended electric wires hanging in Mehsana, posing danger.","Medium"
"No drinking water in Kala, Tak and Patla for the last 10 days.","High"
"Shortage of teachers in Venkatesh-Char.","Medium"
"Ceiling fan fell in Sharaf Ltd, students narrowly escaped.","High"
"No drinking water in Karan-Bath for the last 22 days.","High"
"Shortage of teachers in Khurana-Bhatti.","High"
"No drinking water in Chaudhuri PLC for the last 4 days.","Medium"
"Ceiling fan fell in Tripathi, Madan and Choudhry, students narrowly escaped.","High"
"Ceiling fan fell in Vora, Balakrishnan and Kalla, students narrowly escaped.","Medium"
"Shortage of teachers in Vora Inc.","Medium"
"No drinking water in Sangha Ltd for the last 8 days.","High"
"Ceiling fan fell in Manda, Prakash and Rajagopal, students narrowly escaped.","Medium"
"Shortage of teachers in Mukherjee-Savant.","High"
"Shortage of teachers in Nagi and Sons.","High"
"Shortage of teachers in Prakash PLC.","High"
"Ceiling fan fell in Contractor, Bhavsar and Ramesh, students narrowly escaped.","High"
"Shortage of teachers in Kibe-Naik.","Medium"
"Shortage of teachers in Loyal Inc.","High"
"No drinking water in Gara-Sodhi for the last 27 days.","High"
"Shortage of teachers in Kibe, Khanna and Viswanathan.","Low"
"Ceiling fan fell in Hans, Gala and Narang, students narrowly escaped.","Medium"
"Shortage of teachers in Singh, Bahl and Thakur.","Low"
"Shortage of teachers in Arya Group.","Medium"
"Ceiling fan fell in Golla, Kakar and Mahajan, students narrowly escaped.","Low"
"Shortage of teachers in Biswas-Balan.","Low"
"Ceiling fan fell in Bahl Inc, students narrowly escaped.","Low"
"Ceiling fan fell in Devi, Balakrishnan and Chanda, students narrowly escaped.","Medium"
"Ceiling fan fell in Edwin Ltd, students narrowly escaped.","High"
"No drinking water in Munshi, Goswami and Wadhwa for the last 30 days.","Medium"
"Ceiling fan fell in Kurian-Vala, students narrowly escaped.","High"
"No drinking water in Bhattacharyya Inc for the last 23 days.","Low"
"Shortage of teachers in Borde, D’Alia and Mitra.","High"
"Shortage of teachers in Banerjee-Lad.","High"
"Ceiling fan fell in Atwal-Muni, students narrowly escaped.","Low"
"Ceiling fan fell in Sahni, Ramakrishnan and Badal, students narrowly escaped.","High"
"Ceiling fan fell in Devan-Barman, students narrowly escaped.","High"
"No drinking water in Bobal LLC for the last 3 days.","Medium"
"Shortage of teachers in Batta, Kashyap and Mittal.","High"
"No drinking water in Oza Ltd for the last 3 days.","Medium"
"Ceiling fan fell in Mitter, Sarin and Kant, students narrowly escaped.","High"
"Shortage of teachers in Goel, Dube and Sarna.","High"
"No drinking water in Ramakrishnan-Chand for the last 13 days.","Medium"
"Shortage of teachers in Saha Group.","High"
"Shortage of teachers in Jain, Sengupta and Kapadia.","High"
"No drinking water in Kunda Ltd for the last 6 days.","High"
"Ceiling fan fell in Pillay Group, students narrowly escaped.","Medium"
"Shortage of teachers in Bath Group.","Low"
"Shortage of teachers in Issac PLC.","Medium"
"No drinking water in Chokshi-Hari for the last 4 days.","Medium"
"Ceiling fan fell in Gandhi-Bhargava, students narrowly escaped.","Medium"
"Shortage of teachers in Saraf, Borde and Lanka.","Medium"
"Lift not working in Faridabad apartment block.","High"
"Lift not working in Jammu apartment block.","Low"
"Water seepage in government flats at Mirzapur.","Medium"
"Water seepage in government flats at Bijapur.","Medium"
"Illegal construction in Katni affecting ventilation.","Medium"
"Lift not working in Bongaigaon apartment block.","Medium"
"Illegal construction in Sambhal affecting ventilation.","Medium"
"Lift not working in Rewa apartment block.","High"
"Lift not working in Delhi apartment block.","Low"
"Lift not working in Udupi apartment block.","Low"
"Water seepage in government flats at Mahbubnagar.","Low"
"Lift not working in Raiganj apartment block.","Low"
"Illegal construction in Giridih affecting ventilation.","High"
"Illegal construction in Asansol affecting ventilation.","High"
"Lift not working in Chittoor apartment block.","Low"
"Lift not working in Aurangabad apartment block.","Low"
"Water seepage in government flats at Allahabad.","Medium"
"Water seepage in government flats at Unnao.","Low"
"Water seepage in government flats at Thiruvananthapuram.","High"
"Water seepage in government flats at Bhagalpur.","High"
"Water seepage in government flats at Thoothukudi.","High"
"Water seepage in government flats at Pondicherry.","High"
"Lift not working in Tadipatri apartment block.","High"
"Illegal construction in Munger affecting ventilation.","Medium"
"Illegal construction in Bhusawal affecting ventilation.","Medium"
"Lift not working in Jodhpur apartment block.","High"
"Water seepage in government flats at Tiruppur.","Low"
"Water seepage in government flats at Munger.","Medium"
"Lift not working in Anantapuram apartment block.","Medium"
"Illegal construction in Ambarnath affecting ventilation.","High"
"Illegal construction in Hosur affecting ventilation.","High"
"Illegal construction in Thiruvananthapuram affecting ventilation.","High"
"Lift not working in Purnia apartment block.","High"
"Lift not working in Korba apartment block.","Medium"
"Illegal construction in Shahjahanpur affecting ventilation.","Low"
"Water seepage in government flats at Gorakhpur.","High"
"Lift not working in Bikaner apartment block.","Low"
"Lift not working in Aurangabad apartment block.","High"
"Lift not working in Sultan Pur Majra apartment block.","Low"
"Water seepage in government flats at Munger.","High"
"Illegal construction in Ulhasnagar affecting ventilation.","Low"
"Water seepage in government flats at Chandrapur.","High"
"Water seepage in government flats at Motihari.","Low"
"Illegal construction in Miryalaguda affecting ventilation.","Medium"
"Lift not working in Buxar apartment block.","High"
"Illegal construction in Kanpur affecting ventilation.","High"
"Illegal construction in Allahabad affecting ventilation.","High"
"Illegal construction in Rohtak affecting ventilation.","Low"
"Lift not working in Kottayam apartment block.","Medium"
"Illegal construction in Singrauli affecting ventilation.","Medium"
"Unsafe conditions at construction site in Bellary.","Low"
"Laborers at Barasat demand basic protective gear.","Low"
"Laborers at Bally demand basic protective gear.","High"
"Laborers at New Delhi demand basic protective gear.","High"
"Laborers at Phagwara demand basic protective gear.","Medium"
"Workers at Badami and Sons allege non-payment of wages.","High"
"Unsafe conditions at construction site in Darbhanga.","Medium"
"Unsafe conditions at construction site in Alwar.","High"
"Workers at Goda, Shere and Sharaf allege non-payment of wages.","High"
"Laborers at Alwar demand basic protective gear.","Low"
"Unsafe conditions at construction site in Bulandshahr.","High"
"Workers at Butala LLC allege non-payment of wages.","High"
"Workers at Kumer-Bhandari allege non-payment of wages.","Medium"
"Laborers at Durgapur demand basic protective gear.","High"
"Workers at Mohanty, Narula and Lala allege non-payment of wages.","High"
"Laborers at Delhi demand basic protective gear.","High"
"Workers at Chatterjee-Bal allege non-payment of wages.","Medium"
"Unsafe conditions at construction site in Nangloi Jat.","Low"
"Workers at Balan, Bose and Bhatt allege non-payment of wages.","Medium"
"Unsafe conditions at construction site in Amravati.","Low"
"Workers at Bhat, Ramanathan and Rout allege non-payment of wages.","Low"
"Unsafe conditions at construction site in Deoghar.","High"
"Unsafe conditions at construction site in Rourkela.","Medium"
"Workers at Kibe, Bhavsar and Som allege non-payment of wages.","Medium"
"Unsafe conditions at construction site in Sangli-Miraj & Kupwad.","Low"
"Workers at Sood, Prashad and Sant allege non-payment of wages.","Low"
"Unsafe conditions at construction site in Allahabad.","High"
"Workers at Korpal-Gala allege non-payment of wages.","Low"
"Unsafe conditions at construction site in Chapra.","Low"
"Laborers at Bhiwandi demand basic protective gear.","Low"
"Laborers at Avadi demand basic protective gear.","Medium"
"Unsafe conditions at construction site in Bareilly.","Medium"
"Workers at Choudhury-Dewan allege non-payment of wages.","Medium"
"Unsafe conditions at construction site in Thane.","High"
"Unsafe conditions at construction site in Tiruchirappalli.","Medium"
"Workers at Gola, Rama and Uppal allege non-payment of wages.","Low"
"Unsafe conditions at construction site in Nanded.","Medium"
"Workers at Pradhan, Loyal and Bora allege non-payment of wages.","High"
"Unsafe conditions at construction site in Amritsar.","Medium"
"Workers at Balay, Guha and Banik allege non-payment of wages.","Medium"
"Unsafe conditions at construction site in Malegaon.","Low"
"Laborers at Panchkula demand basic protective gear.","High"
"Unsafe conditions at construction site in Kulti.","High"
"Unsafe conditions at construction site in Srinagar.","Low"
"Workers at Sama, Sem and Kaur allege non-payment of wages.","Low"
"Workers at Borah-Dubey allege non-payment of wages.","Medium"
"Laborers at Bidar demand basic protective gear.","Medium"
"Unsafe conditions at construction site in Sri Ganganagar.","High"
"Laborers at Pudukkottai demand basic protective gear.","High"
"Unsafe conditions at construction site in Rohtak.","Low"
"Aadhaar center at Raipur closed without notice.","Medium"
"Long queues at Siliguri passport office causing delays.","Low"
"Aadhaar center at Panchkula closed without notice.","Low"
"Ration card service delayed for weeks in Vadodara.","High"
"Ration card service delayed for weeks in Buxar.","Medium"
"Long queues at Cuttack passport office causing delays.","Medium"
"Ration card service delayed for weeks in Ratlam.","High"
"Ration card service delayed for weeks in Dehradun.","Low"
"Ration card service delayed for weeks in Madanapalle.","Low"
"Ration card service delayed for weeks in Sri Ganganagar.","High"
"Aadhaar center at Bhagalpur closed without notice.","High"
"Aadhaar center at Danapur closed without notice.","High"
"Aadhaar center at Udupi closed without notice.","High"
"Long queues at Solapur passport office causing delays.","High"
"Long queues at Surat passport office causing delays.","Medium"
"Aadhaar center at Jehanabad closed without notice.","Low"
"Ration card service delayed for weeks in Latur.","Medium"
"Ration card service delayed for weeks in Ranchi.","Low"
"Ration card service delayed for weeks in Srikakulam.","High"
"Ration card service delayed for weeks in Gopalpur.","Medium"
"Aadhaar center at Adoni closed without notice.","Medium"
"Aadhaar center at Nagpur closed without notice.","Low"
"Aadhaar center at Dewas closed without notice.","Medium"
"Aadhaar center at Latur closed without notice.","Low"
"Aadhaar center at Cuttack closed without notice.","High"
"Long queues at Nizamabad passport office causing delays.","Low"
"Long queues at Haldia passport office causing delays.","Low"
"Ration card service delayed for weeks in Howrah.","Medium"
"Aadhaar center at Mumbai closed without notice.","High"
"Ration card service delayed for weeks in Rewa.","Low"
"Ration card service delayed for weeks in Guna.","High"
"Aadhaar center at Udaipur closed without notice.","Low"
"Ration card service delayed for weeks in Tiruvottiyur.","High"
"Aadhaar center at Allahabad closed without notice.","Medium"
"Ration card service delayed for weeks in Jalandhar.","Low"
"Ration card service delayed for weeks in Ambala.","Medium"
"Long queues at Medininagar passport office causing delays.","Low"
"Ration card service delayed for weeks in Thiruvananthapuram.","Medium"
"Ration card service delayed for weeks in Nagaon.","Medium"
"Aadhaar center at Jalna closed without notice.","High"
"Ration card service delayed for weeks in Silchar.","Medium"
"Long queues at Bhagalpur passport office causing delays.","Medium"
"Aadhaar center at Phagwara closed without notice.","High"
"Aadhaar center at Chennai closed without notice.","Low"
"Aadhaar center at Vijayawada closed without notice.","High"
"Long queues at Avadi passport office causing delays.","Low"
"Long queues at Lucknow passport office causing delays.","High"
"Ration card service delayed for weeks in Gwalior.","Low"
"Ration card service delayed for weeks in Rewa.","Low"
"Aadhaar center at Karimnagar closed without notice.","Low"
"Trees being cut illegally in Adoni.","High"
"Trees being cut illegally in Berhampur.","Medium"
"Factory in Hindupur emitting black smoke.","Medium"
"Garbage burning in open near Faridabad.","Low"
"Factory in Madanapalle emitting black smoke.","Low"
"Factory in Amritsar emitting black smoke.","Low"
"Garbage burning in open near Srikakulam.","High"
"Trees being cut illegally in Raiganj.","Low"
"Garbage burning in open near Panihati.","Medium"
"Trees being cut illegally in Surendranagar Dudhrej.","High"
"Factory in Akola emitting black smoke.","Medium"
"Factory in Tadepalligudem emitting black smoke.","Medium"
"Trees being cut illegally in Khammam.","Medium"
"Garbage burning in open near Agartala.","Medium"
"Garbage burning in open near Kadapa.","High"
"Trees being cut illegally in Patiala.","Medium"
"Garbage burning in open near Pali.","Low"
"Factory in Navi Mumbai emitting black smoke.","Medium"
"Garbage burning in open near Hyderabad.","Low"
"Trees being cut illegally in Pimpri-Chinchwad.","Low"
"Garbage burning in open near Indore.","Medium"
"Garbage burning in open near Unnao.","Medium"
"Factory in Amroha emitting black smoke.","Low"
"Garbage burning in open near Narasaraopet.","Medium"
"Factory in Muzaffarnagar emitting black smoke.","High"
"Factory in Bhatpara emitting black smoke.","High"
"Garbage burning in open near New Delhi.","High"
"Factory in Sambhal emitting black smoke.","Low"
"Trees being cut illegally in Vadodara.","Low"
"Garbage burning in open near Shahjahanpur.","Low"
"Factory in Panipat emitting black smoke.","Medium"
"Factory in Gorakhpur emitting black smoke.","High"
"Garbage burning in open near Noida.","High"
"Garbage burning in open near Bongaigaon.","Medium"
"Garbage burning in open near Surendranagar Dudhrej.","High"
"Trees being cut illegally in Nanded.","Medium"
"Factory in Durg emitting black smoke.","Medium"
"Garbage burning in open near Saharsa.","High"
"Trees being cut illegally in Gandhinagar.","Low"
"Garbage burning in open near Aurangabad.","Medium"
"Trees being cut illegally in Tiruppur.","Low"
"Garbage burning in open near Tumkur.","Low"
"Trees being cut illegally in Mira-Bhayandar.","High"
"Garbage burning in open near Unnao.","Low"
"Trees being cut illegally in Pali.","High"
"Trees being cut illegally in Dharmavaram.","High"
"Garbage burning in open near Mathura.","Medium"
"Factory in Saharanpur emitting black smoke.","Medium"
"Factory in Gaya emitting black smoke.","Medium"
"Factory in Gorakhpur emitting black smoke.","Medium"
"Increase in thefts reported from Kulti.","Medium"
"Police did not respond on time to Etawah complaint.","Low"
"Increase in thefts reported from Rajkot.","High"
"Increase in thefts reported from Burhanpur.","Low"
"Increase in thefts reported from Bhubaneswar.","High"
"Chain snatching reported in Hazaribagh.","High"
"Chain snatching reported in Ambarnath.","Low"
"Chain snatching reported in Baranagar.","High"
"Police did not respond on time to Panchkula complaint.","Medium"
"Increase in thefts reported from Tirunelveli.","Medium"
"Chain snatching reported in Sonipat.","High"
"Increase in thefts reported from Imphal.","High"
"Chain snatching reported in Guwahati.","Low"
"Increase in thefts reported from Narasaraopet.","Low"
"Increase in thefts reported from Jaunpur.","Low"
"Chain snatching reported in Nashik.","High"
"Chain snatching reported in Kakinada.","High"
"Chain snatching reported in Hosur.","Low"
"Increase in thefts reported from Thane.","Low"
"Increase in thefts reported from Pudukkottai.","Medium"
"Chain snatching reported in Panchkula.","Low"
"Chain snatching reported in Srinagar.","Low"
"Chain snatching reported in Rourkela.","Low"
"Increase in thefts reported from Tenali.","Medium"
"Police did not respond on time to Dharmavaram complaint.","Low"
